Codigo,Area,Quartos,Banheiros,Suites,Vagas,Condominio,Endereco,IPTU,Titulo,Preco
641,43m2,1,1,0,1,370,"Rua Santa Rita Durão, 466",159,apartamento para alugar no funcionarios,R$ 1.800
642,90m2,3,1,0,1,300,"Rua Mantena, 70",127,apartamento para alugar no sion,R$ 1.500
643,95m2,3,2,1,2,647,"Rua Patagônia, 481",N/D,apartamento para alugar no sion,R$ 1.600
644,70m2,2,2,1,1,295,"Rua Eli Seabra Filho, 100",104,apartamento para alugar no buritis,R$ 1.200
645,70m2,2,1,0,1,400,"Rua Peru, 190",155,apartamento para alugar no sion,R$ 1.400
646,70m2,2,2,1,2,N/D,"Rua Juruá, 422",N/D,apartamento para alugar no graça,R$ 1.600
647,78m2,3,2,1,2,577,"Rua Valença, 48",124,apartamento para alugar no carlos prates,R$ 1.300
648,66m2,2,1,1,1,570,"Avenida Do Contorno, 5005",139,apartamento para alugar no santo agostinho,R$ 1.500
649,67m2,2,2,1,2,390,"Rua Dos Guajajaras, 556",255,apartamento para alugar no centro,R$ 2.550
650,75m2,2,2,1,2,725,"Rua Curitiba, 1822",300,apartamento para alugar no lourdes,R$ 3.100
651,160m2,3,3,3,3,736,"Rua Felipe Dos Santos, 760",N/D,apartamento para alugar no lourdes,R$ 6.900
